Gene stable ID	Gene name	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand
ENSDARG00000068468	dnah3	dynein axonemal heavy chain 3 [Source:ZFIN;Acc:ZDB-GENE-091112-7]	24	39443874	39511864	1
ENSDARG00000101806	or104-1	odorant receptor, family C, subfamily 104, member 1 [Source:ZFIN;Acc:ZDB-GENE-070806-53]	10	36354863	36356642	1
ENSDARG00000105445	CR769769.2		11	17093753	17097933	-1
ENSDARG00000078805	ap5b1	adaptor related protein complex 5 subunit beta 1 [Source:ZFIN;Acc:ZDB-GENE-131121-204]	11	39112341	39118929	-1
ENSDARG00000058893	nhej1	nonhomologous end-joining factor 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2515]	6	7085889	7109063	-1
ENSDARG00000088881	si:dkeyp-69b9.3	si:dkeyp-69b9.3 [Source:ZFIN;Acc:ZDB-GENE-100922-275]	16	13505064	13516745	-1
ENSDARG00000095893	si:dkey-85n7.7	si:dkey-85n7.7 [Source:ZFIN;Acc:ZDB-GENE-110408-52]	20	27222849	27225878	-1
ENSDARG00000062376	nlgn3b	neuroligin 3b [Source:ZFIN;Acc:ZDB-GENE-060526-197]	5	23283890	23317477	-1
ENSDARG00000039490	pitpnaa	phosphatidylinositol transfer protein, alpha a [Source:ZFIN;Acc:ZDB-GENE-040426-744]	15	28410664	28425011	1
ENSDARG00000020986	ctu1	cytosolic thiouridylase subunit 1 homolog (S. pombe) [Source:ZFIN;Acc:ZDB-GENE-040426-704]	8	3431671	3439484	1
ENSDARG00000098626	nitr12	novel immune-type receptor 12 [Source:ZFIN;Acc:ZDB-GENE-041001-1]	7	17253149	17258812	-1
ENSDARG00000089187	wfdc2	WAP four-disulfide core domain 2 [Source:ZFIN;Acc:ZDB-GENE-090313-47]	23	12418613	12423778	-1
ENSDARG00000101165	si:dkey-157e10.8	si:dkey-157e10.8 [Source:ZFIN;Acc:ZDB-GENE-110914-202]	4	55273988	55275497	1
ENSDARG00000003175	stx5al	syntaxin 5A, like [Source:ZFIN;Acc:ZDB-GENE-030131-1825]	21	26536950	26554325	1
ENSDARG00000074846	si:dkeyp-68b7.12	si:dkeyp-68b7.12 [Source:ZFIN;Acc:ZDB-GENE-141212-333]	2	57953239	57991638	-1
ENSDARG00000026759	ldlrb	low density lipoprotein receptor b [Source:ZFIN;Acc:ZDB-GENE-040426-1254]	6	102506	109626	1
ENSDARG00000098213	BX465836.1	si:ch211-59m15.1 [Source:NCBI gene;Acc:101885906]	4	55165697	55167082	-1
ENSDARG00000033099	kif7	kinesin family member 7 [Source:ZFIN;Acc:ZDB-GENE-050307-1]	7	14393059	14446512	-1
ENSDARG00000096970	BX119902.2		5	24202623	24228356	1
ENSDARG00000024184	narf	nuclear prelamin A recognition factor [Source:ZFIN;Acc:ZDB-GENE-040718-31]	12	33460794	33474029	1
ENSDARG00000076901	CR376751.1		8	45200860	45202077	-1
ENSDARG00000009341	nrap	nebulin-related anchoring protein [Source:ZFIN;Acc:ZDB-GENE-060616-224]	12	30586599	30618440	1
ENSDARG00000100546	or108-2	odorant receptor, family D, subfamily 108, member 2 [Source:ZFIN;Acc:ZDB-GENE-070806-65]	10	36184751	36186346	1
ENSDARG00000090804	gpr155a	G protein-coupled receptor 155a [Source:ZFIN;Acc:ZDB-GENE-100922-89]	9	2522797	2560126	1
ENSDARG00000016977	snx27b	sorting nexin family member 27b [Source:ZFIN;Acc:ZDB-GENE-040426-1529]	16	23495600	23524374	1
ENSDARG00000058538	alcamb	activated leukocyte cell adhesion molecule b [Source:ZFIN;Acc:ZDB-GENE-030131-1768]	15	19838458	19878987	1
ENSDARG00000102175	hamp	hepcidin antimicrobial peptide [Source:ZFIN;Acc:ZDB-GENE-050726-1]	16	50289916	50292583	1
ENSDARG00000018153	nt5c1ba	5'-nucleotidase, cytosolic IB a [Source:ZFIN;Acc:ZDB-GENE-070424-103]	13	32446169	32453932	1
ENSDARG00000054533	araf	A-Raf proto-oncogene, serine/threonine kinase [Source:ZFIN;Acc:ZDB-GENE-050102-2]	5	26856253	26869392	1
ENSDARG00000092243	BX005065.1	si:ch211-163b2.2 [Source:NCBI gene;Acc:103911565]	8	45035418	45037752	-1
ENSDARG00000038154	isca2	iron-sulfur cluster assembly 2 [Source:ZFIN;Acc:ZDB-GENE-131121-486]	17	43032529	43036291	1
ENSDARG00000036420	si:dkey-33c9.6	si:dkey-33c9.6 [Source:ZFIN;Acc:ZDB-GENE-130530-592]	7	20383841	20436781	1
ENSDARG00000098726	rptor	regulatory associated protein of MTOR, complex 1 [Source:ZFIN;Acc:ZDB-GENE-130530-685]	6	17725788	17999776	-1
ENSDARG00000098677	zgc:174180	zgc:174180 [Source:ZFIN;Acc:ZDB-GENE-080206-1]	4	35960020	36033454	-1
ENSDARG00000096511	BX842692.1		20	19382427	19385077	-1
ENSDARG00000037652	zgc:56409	zgc:56409 [Source:ZFIN;Acc:ZDB-GENE-040426-1019]	1	9873295	9885326	-1
ENSDARG00000027963	camkva	CaM kinase-like vesicle-associated a [Source:ZFIN;Acc:ZDB-GENE-100819-2]	6	42545797	42598328	1
ENSDARG00000097726	si:ch211-149e23.4	si:ch211-149e23.4 [Source:ZFIN;Acc:ZDB-GENE-131121-606]	15	15173611	15218956	1
ENSDARG00000105456	FO834831.1		11	43228412	43230364	-1
ENSDARG00000095680	AL845324.2		11	38947987	38949751	-1
ENSDARG00000011821	plod2	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:ZFIN;Acc:ZDB-GENE-070326-1]	24	5237709	5314707	1
ENSDARG00000095576	si:ch211-122l14.7	si:ch211-122l14.7 [Source:ZFIN;Acc:ZDB-GENE-041014-263]	11	38922744	38924944	-1
ENSDARG00000035875	tmem54b	transmembrane protein 54b [Source:ZFIN;Acc:ZDB-GENE-060503-898]	19	32603627	32619257	1
ENSDARG00000057074	rpgrb	retinitis pigmentosa GTPase regulator b [Source:ZFIN;Acc:ZDB-GENE-081015-2]	11	29770966	29790222	1
ENSDARG00000075181	crfb16	cytokine receptor family member B16 [Source:ZFIN;Acc:ZDB-GENE-071120-9]	2	5521671	5536927	1
ENSDARG00000077950	tor1	torsin family 1 [Source:ZFIN;Acc:ZDB-GENE-080917-50]	21	3775551	3787325	1
ENSDARG00000079355	flrt2	fibronectin leucine rich transmembrane protein 2 [Source:ZFIN;Acc:ZDB-GENE-070705-267]	20	11098239	11178022	-1
ENSDARG00000044251	rasgef1bb	RasGEF domain family, member 1Bb [Source:ZFIN;Acc:ZDB-GENE-040801-220]	10	9159279	9184667	1
ENSDARG00000096398	si:ch211-276a17.5	si:ch211-276a17.5 [Source:ZFIN;Acc:ZDB-GENE-120215-248]	6	8339298	8346939	1
ENSDARG00000003144	pxmp2	peroxisomal membrane protein 2 [Source:ZFIN;Acc:ZDB-GENE-040912-184]	5	20115774	20123002	-1
ENSDARG00000016968	tmem214	transmembrane protein 214 [Source:ZFIN;Acc:ZDB-GENE-110307-2]	4	764100	779796	-1
ENSDARG00000090063	fa2h	fatty acid 2-hydroxylase [Source:ZFIN;Acc:ZDB-GENE-031219-4]	25	13558992	13614863	-1
ENSDARG00000033789	ndufb7	NADH:ubiquinone oxidoreductase subunit B7 [Source:ZFIN;Acc:ZDB-GENE-040426-1886]	1	55780128	55785722	-1
ENSDARG00000017522	ctdp1	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1 [Source:ZFIN;Acc:ZDB-GENE-040720-1]	19	11632834	11846958	-1
ENSDARG00000077860	ankhd1	ankyrin repeat and KH domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-090421-1]	21	26408016	26483237	-1
ENSDARG00000097025	CR354383.1		21	26482517	26489393	1
ENSDARG00000052097	trim35-31	tripartite motif containing 35-31 [Source:ZFIN;Acc:ZDB-GENE-061009-3]	3	5538485	5555500	-1
ENSDARG00000098675	traj55	T-cell receptor alpha joining 55 [Source:ZFIN;Acc:ZDB-GENE-170601-63]	2	36122310	36122372	1
ENSDARG00000045015	cyp27b1	cytochrome P450, family 27, subfamily B, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-111005-2]	11	329687	339847	1
ENSDARG00000101490	si:ch73-281i18.6	si:ch73-281i18.6 [Source:ZFIN;Acc:ZDB-GENE-141219-21]	19	3919591	3925886	-1
ENSDARG00000008100	slc7a10a	solute carrier family 7 (neutral amino acid transporter light chain, asc system), member 10a [Source:ZFIN;Acc:ZDB-GENE-080116-1]	7	38315647	38340674	-1
ENSDARG00000041340	mrpl51	mitochondrial ribosomal protein L51 [Source:ZFIN;Acc:ZDB-GENE-050320-40]	16	4540981	4547193	-1
ENSDARG00000087757	pimr190	Pim proto-oncogene, serine/threonine kinase, related 190 [Source:ZFIN;Acc:ZDB-GENE-131119-2]	15	25035947	25039083	-1
ENSDARG00000110990	BX908796.2		15	25028482	25054730	1
ENSDARG00000092491	si:dkey-149i17.8	si:dkey-149i17.8 [Source:ZFIN;Acc:ZDB-GENE-070912-375]	2	24900571	24901912	-1
ENSDARG00000045873	frs2a	fibroblast growth factor receptor substrate 2a [Source:ZFIN;Acc:ZDB-GENE-060503-462]	4	2092683	2099581	1
ENSDARG00000088072	usp43b	ubiquitin specific peptidase 43b [Source:ZFIN;Acc:ZDB-GENE-120524-2]	3	25546672	25646149	-1
ENSDARG00000096208	si:dkeyp-100h4.8	si:dkeyp-100h4.8 [Source:ZFIN;Acc:ZDB-GENE-110914-140]	4	44954486	44956819	1
ENSDARG00000070874	asmt2	acetylserotonin O-methyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-070410-45]	17	26815021	26826438	1
ENSDARG00000105588	CU464087.1		7	28709931	28717559	-1
ENSDARG00000075339	ipp	intracisternal A particle-promoted polypeptide [Source:ZFIN;Acc:ZDB-GENE-080204-28]	2	2994052	3022655	1
ENSDARG00000045641	usp3	ubiquitin specific peptidase 3 [Source:ZFIN;Acc:ZDB-GENE-030131-5142]	25	26738450	26753196	-1
ENSDARG00000103025	hmgcs1	3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble) [Source:ZFIN;Acc:ZDB-GENE-040426-1042]	10	6010570	6034397	1
ENSDARG00000061439	ugt5c3	UDP glucuronosyltransferase 5 family, polypeptide C3 [Source:ZFIN;Acc:ZDB-GENE-050419-23]	18	40471826	40477865	1
ENSDARG00000102553	traj6	T-cell receptor alpha joining 6 [Source:ZFIN;Acc:ZDB-GENE-170601-14]	2	36098750	36098812	1
ENSDARG00000104269	si:ch211-271d10.2	si:ch211-271d10.2 [Source:ZFIN;Acc:ZDB-GENE-141212-343]	16	46093254	46097432	-1
ENSDARG00000052520	sgms2a	sphingomyelin synthase 2a [Source:ZFIN;Acc:ZDB-GENE-070730-2]	1	49933652	49950643	-1
ENSDARG00000018542	hapln4	hyaluronan and proteoglycan link protein 4 [Source:ZFIN;Acc:ZDB-GENE-060503-243]	22	17828267	17831253	1
ENSDARG00000074253	olig3	oligodendrocyte transcription factor 3 [Source:ZFIN;Acc:ZDB-GENE-080903-1]	13	1305363	1308020	-1
ENSDARG00000078768	abhd15a	abhydrolase domain containing 15a [Source:ZFIN;Acc:ZDB-GENE-131121-270]	15	24946321	24960781	-1
ENSDARG00000100858	zgc:171695	zgc:171695 [Source:ZFIN;Acc:ZDB-GENE-071004-23]	7	2980248	3011514	-1
ENSDARG00000062357	fam19a1a	family with sequence similarity 19 (chemokine (C-C motif)-like), member A1a [Source:ZFIN;Acc:ZDB-GENE-090313-124]	23	18177281	18287618	-1
ENSDARG00000019135	ankef1a	ankyrin repeat and EF-hand domain containing 1a [Source:ZFIN;Acc:ZDB-GENE-041001-196]	20	34868933	34902205	1
ENSDARG00000068711	crfb4	cytokine receptor family member b4 [Source:ZFIN;Acc:ZDB-GENE-070905-3]	9	15936216	16062938	-1
ENSDARG00000043002	vmo1a	vitelline membrane outer layer 1 homolog a [Source:ZFIN;Acc:ZDB-GENE-131121-600]	3	5403848	5413018	-1
ENSDARG00000090854	lsm11	LSM11, U7 small nuclear RNA associated [Source:ZFIN;Acc:ZDB-GENE-050309-124]	14	35392736	35405723	-1
ENSDARG00000056683	cdk5	cyclin-dependent kinase 5 [Source:ZFIN;Acc:ZDB-GENE-010131-2]	24	33767771	33780387	-1
ENSDARG00000098676	CU467043.1		6	27108048	27126829	1
ENSDARG00000012446	zgc:113057	zgc:113057 [Source:ZFIN;Acc:ZDB-GENE-050508-3]	7	9008372	9046302	1
ENSDARG00000078567	lonrf1l	LON peptidase N-terminal domain and ring finger 1, like [Source:ZFIN;Acc:ZDB-GENE-081104-397]	8	13700605	13788311	1
ENSDARG00000021444	prf1.2	perforin 1.2 [Source:ZFIN;Acc:ZDB-GENE-111212-3]	19	24161712	24163845	-1
ENSDARG00000029263	hoxb3a	homeobox B3a [Source:ZFIN;Acc:ZDB-GENE-990415-104]	3	23697997	23771945	1
ENSDARG00000030472	slc16a5a	solute carrier family 16 (monocarboxylate transporter), member 5a [Source:ZFIN;Acc:ZDB-GENE-121108-4]	12	26566422	26587231	-1
ENSDARG00000042515	gpr176	G protein-coupled receptor 176 [Source:ZFIN;Acc:ZDB-GENE-041001-183]	20	28960340	28974309	1
ENSDARG00000042018	fhl2a	four and a half LIM domains 2a [Source:ZFIN;Acc:ZDB-GENE-040808-49]	9	6578580	6601988	1
ENSDARG00000036943	golph3l	golgi phosphoprotein 3-like [Source:ZFIN;Acc:ZDB-GENE-051113-168]	19	329808	340641	-1
ENSDARG00000015476	iqch	IQ motif containing H [Source:ZFIN;Acc:ZDB-GENE-050419-242]	18	19820008	19880934	1
ENSDARG00000089954	si:ch211-189e2.3	si:ch211-189e2.3 [Source:ZFIN;Acc:ZDB-GENE-030131-6454]	17	6603691	6641548	-1
ENSDARG00000002355	shpk	sedoheptulokinase [Source:ZFIN;Acc:ZDB-GENE-060526-357]	5	42124706	42132825	1
ENSDARG00000069537	si:dkey-238c7.16	si:dkey-238c7.16 [Source:ZFIN;Acc:ZDB-GENE-030131-4169]	18	7479201	7481036	-1
ENSDARG00000044457	gfi1ab	growth factor independent 1A transcription repressor b [Source:ZFIN;Acc:ZDB-GENE-040116-8]	6	29004062	29007493	-1
ENSDARG00000087798	pdyn	prodynorphin [Source:ZFIN;Acc:ZDB-GENE-060417-1]	23	41799748	41802335	1
ENSDARG00000101106	si:ch73-109d9.3	si:ch73-109d9.3 [Source:ZFIN;Acc:ZDB-GENE-141212-331]	1	44027611	44037843	-1
ENSDARG00000093521	b3gnt3.3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3, tandem duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-081105-12]	8	13597405	13600274	-1
ENSDARG00000045443	agtr1b	angiotensin II receptor, type 1b [Source:ZFIN;Acc:ZDB-GENE-110411-117]	24	4767806	4782052	-1
ENSDARG00000058958	trim35-7	tripartite motif containing 35-7 [Source:ZFIN;Acc:ZDB-GENE-050522-333]	3	5344999	5362347	-1
ENSDARG00000019293	tfdp1a	transcription factor Dp-1, a [Source:ZFIN;Acc:ZDB-GENE-040426-2883]	9	34950942	34968429	1
ENSDARG00000094455	CR293531.1		21	12584756	12607941	-1
ENSDARG00000097849	BX927395.1		3	23686198	23686700	-1
ENSDARG00000078167	si:dkeyp-100h4.1	si:dkeyp-100h4.1 [Source:ZFIN;Acc:ZDB-GENE-081103-7]	4	44470531	44518893	-1
ENSDARG00000115890	si:dkey-1b17.9	si:dkey-1b17.9 [Source:ZFIN;Acc:ZDB-GENE-050208-546]	22	1708760	1713309	1
ENSDARG00000101085	ss18l2	synovial sarcoma translocation gene on chromosome 18-like 2 [Source:ZFIN;Acc:ZDB-GENE-050417-268]	18	328689	330937	1
ENSDARG00000007250	use1	unconventional SNARE in the ER 1 homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-1015]	22	11070842	11079068	-1
ENSDARG00000113690	si:ch211-223g7.6	si:ch211-223g7.6 [Source:ZFIN;Acc:ZDB-GENE-050420-222]	4	54316804	54338253	-1
ENSDARG00000011449	fes	FES proto-oncogene, tyrosine kinase [Source:ZFIN;Acc:ZDB-GENE-100812-10]	7	14211322	14266466	1
ENSDARG00000099200	zgc:123103	zgc:123103 [Source:ZFIN;Acc:ZDB-GENE-051030-105]	19	42547699	42551338	-1
ENSDARG00000040250	si:ch211-132g1.1	si:ch211-132g1.1 [Source:ZFIN;Acc:ZDB-GENE-090313-24]	1	1915967	1923253	1
ENSDARG00000044753	idh3b	isocitrate dehydrogenase 3 (NAD+) beta [Source:ZFIN;Acc:ZDB-GENE-040625-174]	21	15733880	15749719	1
ENSDARG00000006560	irf4a	interferon regulatory factor 4a [Source:ZFIN;Acc:ZDB-GENE-070912-330]	2	854444	879800	-1
ENSDARG00000099086	BX511142.1		14	32074541	32148201	1
ENSDARG00000074302	gpr183b	G protein-coupled receptor 183b [Source:ZFIN;Acc:ZDB-GENE-081031-74]	1	30551777	30554973	1
ENSDARG00000061371	cdh18a	cadherin 18, type 2a [Source:ZFIN;Acc:ZDB-GENE-060929-316]	2	29249204	29353179	1
ENSDARG00000063574	mtg2	mitochondrial ribosome-associated GTPase 2 [Source:ZFIN;Acc:ZDB-GENE-030131-2209]	23	547107	552539	-1
ENSDARG00000086471	pkig	protein kinase (cAMP-dependent, catalytic) inhibitor gamma [Source:ZFIN;Acc:ZDB-GENE-050302-97]	23	25879320	25942859	1
ENSDARG00000002377	mief2	mitochondrial elongation factor 2 [Source:ZFIN;Acc:ZDB-GENE-060929-864]	1	8521323	8532009	1
ENSDARG00000052129	boka	BOK, BCL2 family apoptosis regulator a [Source:ZFIN;Acc:ZDB-GENE-040801-131]	6	27062512	27089014	1
ENSDARG00000098029	si:ch211-129o18.4	si:ch211-129o18.4 [Source:ZFIN;Acc:ZDB-GENE-090313-22]	23	29333851	29357764	-1
ENSDARG00000097268	CU929145.2		24	39117499	39118364	1
ENSDARG00000059773	si:ch211-278a6.1	si:ch211-278a6.1 [Source:ZFIN;Acc:ZDB-GENE-060503-699]	3	37235924	37476475	-1
ENSDARG00000095453	si:rp71-17i16.6	si:rp71-17i16.6 [Source:ZFIN;Acc:ZDB-GENE-090313-410]	23	20340200	20345473	-1
ENSDARG00000097673	FP016235.1		7	65756041	65757798	1
ENSDARG00000056740	tmeff1b	transmembrane protein with EGF-like and two follistatin-like domains 1b [Source:ZFIN;Acc:ZDB-GENE-050706-143]	24	33708804	33756003	-1
ENSDARG00000033446	tap2t	transporter associated with antigen processing, subunit type t, teleost specific [Source:ZFIN;Acc:ZDB-GENE-130531-48]	12	26546820	26559650	-1
ENSDARG00000099899	si:dkeyp-51g9.4	si:dkeyp-51g9.4 [Source:ZFIN;Acc:ZDB-GENE-160628-1]	4	34468977	34480599	-1
ENSDARG00000077253	alkbh6	alkB homolog 6 [Source:ZFIN;Acc:ZDB-GENE-060407-1]	5	36650064	36654698	1
ENSDARG00000096836	AL807792.1		8	29581495	29635923	-1
ENSDARG00000105063	si:ch211-64i20.3	si:ch211-64i20.3 [Source:ZFIN;Acc:ZDB-GENE-110913-55]	4	34443650	34480611	-1
ENSDARG00000100694	tnnt2b	troponin T type 2b (cardiac) [Source:ZFIN;Acc:ZDB-GENE-091106-2]	6	54761141	54796072	-1
ENSDARG00000093799	setbp1	SET binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-060526-72]	5	52039067	52132978	1
ENSDARG00000092995	BX294113.1		24	14623831	14636303	1
ENSDARG00000052851	golph3	golgi phosphoprotein 3 [Source:ZFIN;Acc:ZDB-GENE-041010-209]	5	41082534	41103644	-1
ENSDARG00000009844	dusp23a	dual specificity phosphatase 23a [Source:ZFIN;Acc:ZDB-GENE-030131-2554]	20	43113465	43118411	1
ENSDARG00000018871	henmt1	HEN methyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-050417-387]	20	33744065	33749174	1
ENSDARG00000102608	zgc:109986	zgc:109986 [Source:ZFIN;Acc:ZDB-GENE-050522-136]	17	10062045	10073926	-1
ENSDARG00000003818	prkag1	protein kinase, AMP-activated, gamma 1 non-catalytic subunit [Source:ZFIN;Acc:ZDB-GENE-040426-2188]	6	2206495	2222707	-1
ENSDARG00000019156	haus5	HAUS augmin-like complex, subunit 5 [Source:ZFIN;Acc:ZDB-GENE-041114-150]	8	20897849	20914829	-1
ENSDARG00000038615	pip4p1a	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1a [Source:ZFIN;Acc:ZDB-GENE-051113-312]	2	44383175	44398611	-1
ENSDARG00000092774	tarsl2	threonyl-tRNA synthetase-like 2 [Source:ZFIN;Acc:ZDB-GENE-081104-490]	18	210838	226800	-1
ENSDARG00000092082	BX649639.1		22	14995782	14996591	1
ENSDARG00000087457	ecscr	endothelial cell surface expressed chemotaxis and apoptosis regulator [Source:ZFIN;Acc:ZDB-GENE-050411-37]	21	29077509	29088928	1
ENSDARG00000034734	med6	mediator complex subunit 6 [Source:ZFIN;Acc:ZDB-GENE-040625-61]	13	36135122	36141486	-1
ENSDARG00000079283	si:ch211-247j9.1	si:ch211-247j9.1 [Source:ZFIN;Acc:ZDB-GENE-091204-212]	21	32332616	32349711	1
ENSDARG00000021913	ak9	adenylate kinase 9 [Source:ZFIN;Acc:ZDB-GENE-041014-337]	20	33708318	33737831	1
ENSDARG00000105120	gab2	GRB2-associated binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-130530-756]	15	9444982	9593532	-1
ENSDARG00000098157	CR792416.1		3	8933639	8934476	-1
ENSDARG00000102929	zgc:101715	zgc:101715 [Source:ZFIN;Acc:ZDB-GENE-040912-59]	7	45992048	45993499	-1
ENSDARG00000073688	nav2a	neuron navigator 2a [Source:ZFIN;Acc:ZDB-GENE-120502-3]	7	16806473	17015002	1
ENSDARG00000103180	CU467880.1		9	48713222	48713994	1
ENSDARG00000090814	si:dkey-18a10.3	si:dkey-18a10.3 [Source:ZFIN;Acc:ZDB-GENE-091204-174]	10	33561567	33572441	-1
ENSDARG00000027141	ube2l3b	ubiquitin-conjugating enzyme E2L 3b [Source:ZFIN;Acc:ZDB-GENE-030131-662]	5	13337507	13353905	-1
ENSDARG00000102434	si:dkey-13m1.2	si:dkey-13m1.2 [Source:ZFIN;Acc:ZDB-GENE-141216-261]	11	13366773	13413971	1
ENSDARG00000099967	CU929143.1		23	44553647	44565769	-1
ENSDARG00000095872	CR352226.3		22	6661712	6662906	-1
ENSDARG00000052142	acvr1bb	activin A receptor type 1Bb [Source:ZFIN;Acc:ZDB-GENE-131120-9]	6	2174082	2198683	1
ENSDARG00000093111	si:ch211-209l18.2	si:ch211-209l18.2 [Source:ZFIN;Acc:ZDB-GENE-060503-682]	22	6613020	6690829	1
ENSDARG00000069758	si:dkey-189g17.2	si:dkey-189g17.2 [Source:ZFIN;Acc:ZDB-GENE-030131-5562]	9	22656976	22672826	1
ENSDARG00000039218	gpr101	G protein-coupled receptor 101 [Source:ZFIN;Acc:ZDB-GENE-070914-1]	14	31890001	31893996	-1
